,heading,rating,location,img_url,text,rating_unknown,cleaned_text
324,Cinque Island,-1.0,ANDAMAN-NICOBAR-ISLANDS,https://www.holidify.com/images/cmsuploads/compressed/30519582556_242d729acf_b_20190416151538.jpg,"located 26 km from the capital, port blair, cinque island is an inhabited isolated part of the andaman archipelago. it is nestled between passage and duncan island towards the north side. the island is further divided into north and south cinque islands. the islands are collectively a part of wandoor marine national park, or more commonly known as mahatma gandhi marine national park.",1,located 26 km capital port blair cinque island inhabited isolated part andaman archipelago nestled passage duncan island towards north side island divided north south cinque islands islands collectively part wandoor marine national park commonly known mahatma gandhi marine national park
325,Little Andaman,4.4,ANDAMAN-NICOBAR-ISLANDS,https://www.holidify.com/images/cmsuploads/compressed/maxresdefault(9)_20180105211131.jpg,"little andaman island , situated at the southern end of the archipelago and duncan passage  separates it from rutland island. among all the andaman islands, little andaman island is the fourth largest . moreover, it conducts  package tours for the visitors from  port blair to the little andaman island.",0,little andaman island situated southern end archipelago duncan passage separates rutland island among andaman islands little andaman island fourth largest moreover conducts package tours visitors port blair little andaman island
326,Barren Island,3.9,ANDAMAN-NICOBAR-ISLANDS,https://www.holidify.com/images/cmsuploads/compressed/3618_20190213150112jpg,"located about 135 kilometres to the northeast of port blair, barren island is situated at the intersection of the seismically active indian and burmese plates and is  1.8 million years old and is home to the only active volcano in the indian subcontinent. as the name suggests, the island is largely uninhabited, thanks to the volcano eruptions that take place here at frequent intervals.",0,located 135 kilometres northeast port blair barren island situated intersection seismically active indian burmese plates 1 8 million years old home active volcano indian subcontinent name suggests island largely uninhabited thanks volcano eruptions take place frequent intervals
327,Shopping in Andaman,3.3,Port Blair,https://www.holidify.com/images/cmsuploads/compressed/5638_20190213182849jpg,"since tourism is still in its early stages here, so there is not too much that you can buy from here and take as souvenirs for friends and family.",0,since tourism still early stages here much buy take souvenirs friends family
328,Sandbar Beach,-1.0,Port Blair,https://www.holidify.com/images/cmsuploads/compressed/Sandbar_20180911162727.jpg,"sandbar beach is basically a long stretch of sand that connects two islands, ross and smith in andaman. the stunning scenery created by the densely forested islands and the stretch of white sand is quite unique to the location and draws several tourists to witness it charm. on a clear day when the waves are gentle, one can relax a bit on the sandbar or go snorkelling and swimming on either side.",1,sandbar beach basically long stretch sand connects two islands ross smith andaman stunning scenery created densely forested islands stretch white sand quite unique location draws several tourists witness charm clear day waves gentle one relax bit sandbar go snorkelling swimming either side
329,"Long Island, Andaman",4.4,North Middle Andaman,https://www.holidify.com/images/cmsuploads/compressed/4098_20190411110538.jpg,long island is completely deserted with very minimal infrastructure. this might be a good camping destination if you are looking for some adventure. but be sure to bring your own gear and food arrangement.,0,long island completely deserted minimal infrastructure might good camping destination looking adventure sure bring gear food arrangement
330,Rutland Island,3.7,Port Blair,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_1071175940_20200121120305_20200121120325.jpg,"rutland, lined with virgin beaches, is one of the lesser visited of all the islands located in the southern part of great andaman archipelago.",0,rutland lined virgin beaches one lesser visited islands located southern part great andaman archipelago
331,Parrot Island,-1.0,ANDAMAN-NICOBAR-ISLANDS,https://www.holidify.com/images/cmsuploads/compressed/parrot-island-1_20190119170024.jpg,"parrot island, a peculiar sort of home to thousands of fluttering parrots, looks like a whole new empire of wilderness born out of the salty waters of the indian ocean. every day, hosts of green parrots arrive at the island as a part of their daily ritual, which is a spectacle to behold. once in a while, we come across something so beautiful yet bizarre, exquisite yet inexplicable, that we find no words to quite describe it. parrot island is one such unparalleled destination, nestled quietly amidst the group of baratang islands of andaman and nicobar. this small island is part of a larger archipelago, all of which are laced with dense tropical forests and mangrove vegetation.",1,parrot island peculiar sort home thousands fluttering parrots looks like whole new empire wilderness born salty waters indian ocean every day hosts green parrots arrive island part daily ritual spectacle behold while come across something beautiful yet bizarre exquisite yet inexplicable find words quite describe it parrot island one unparalleled destination nestled quietly amidst group baratang islands andaman nicobar small island part larger archipelago laced dense tropical forests mangrove vegetation
332,Diglipur,3.0,North Middle Andaman,https://www.holidify.com/images/cmsuploads/compressed/ZSjHfrdPrMr-EA6kIywWgK0JolWnh6L6TjNj7zVt6i4_20180307155153.jpg,"diglipur, a large island located in the north andaman area, is a tourist hotspot and an ecological paradise. the island houses rows of tropical forests, mangroves, and lovely beaches rich in exotic marine life.",0,diglipur large island located north andaman area tourist hotspot ecological paradise island houses rows tropical forests mangroves lovely beaches rich exotic marine life
333,Saddle Peak National Park,-1.0,ANDAMAN-NICOBAR-ISLANDS,https://www.holidify.com/images/cmsuploads/compressed/2017-0215-12440700-largejpg_20190110130404.jpg,"saddle peak national park was established in 1987 in the andaman district of the andaman and nicobar islands. it is entirely uninhabited by human beings, thus making it safe for preserving wildlife and the environment. the long trip to the park makes it worth it upon experiencing its beauty.",1,saddle peak national park established 1987 andaman district andaman nicobar islands entirely uninhabited human beings thus making safe preserving wildlife environment long trip park makes worth upon experiencing beauty
334,Lalaji Bay Beach,-1.0,North Middle Andaman,https://www.holidify.com/images/cmsuploads/compressed/lalajibig1_20180911160243.jpg,"located on long island, lalaji bay beach is a picturesque attraction accessible by a small boat ride from yerrata jetty. the ride goes through a gorgeous mangrove creek till the white sand beach. the pristine white sands and the crystal clear water of the lalaji bay beach provide for a stunning place to relax and rejuvenate.",1,located long island lalaji bay beach picturesque attraction accessible small boat ride yerrata jetty ride goes gorgeous mangrove creek till white sand beach pristine white sands crystal clear water lalaji bay beach provide stunning place relax rejuvenate
335,Amkunj Beach,-1.0,North Middle Andaman,https://www.holidify.com/images/cmsuploads/compressed/ab_20180911162136.jpg,"amkunj beach is also called an eco-friendly beach in rangat. it has a rocky shoreline and is not ideal for swimming; however, one can carefully stroll across to witness its beauty. tourists can sit on the wooden benches installed on the shoreline and watch the waves come up to the uneven terrain. sunsets and sunrises are the best times to visit the beach. it is also quite famous for spotting turtles.",1,amkunj beach also called eco friendly beach rangat rocky shoreline ideal swimming however one carefully stroll across witness beauty tourists sit wooden benches installed shoreline watch waves come uneven terrain sunsets sunrises best times visit beach also quite famous spotting turtles
336,Stewart Island Beach,-1.0,ANDAMAN-NICOBAR-ISLANDS,https://www.holidify.com/images/cmsuploads/compressed/Islands_20181219151629.jpg,"while planning a visit to the spectacular andaman and nicobar, your itinerary must include the scenic stewart island beach which lies near the mayabunder. located near the north of diglipur taluk, the beach is approximately in the middle of andaman district. the beach known for its brown-black colour sand and a serene atmosphere is uninhabited. stewart island beach also gets the most breathtaking rainbows to add on to its picturesque charm against the backdrop of the dancing waves. the island is small with an area of 7.05 km square.",1,planning visit spectacular andaman nicobar itinerary must include scenic stewart island beach lies near mayabunder located near north diglipur taluk beach approximately middle andaman district beach known brown black colour sand serene atmosphere uninhabited stewart island beach also gets breathtaking rainbows add picturesque charm backdrop dancing waves island small area 7 05 km square
337,Limestone Caves Andaman,-1.0,ANDAMAN-NICOBAR-ISLANDS,https://www.holidify.com/images/cmsuploads/compressed/caves_1513763376t_20190110125443.jpg,"the naturally-formed limestone caves near baratang island of andaman are a favourite tourist spot for those who do not mind a long journey. the caves are only a destination as there is a long boat journey towards it. the caves, although beautiful, are not that easy to reach. one has to take a convoy through the jarawa forest land and ferry ride to baratang island before you can reach limestone caves in andamans. perfect for adventure-seekers and spelunkers, reaching these caves also requires a small trek.",1,naturally formed limestone cavesnear baratang island andamanare favourite tourist spot mind long journey caves destination long boat journey towards it caves although beautiful easy reach one take convoy jarawa forest land ferry ride baratang island reach limestone caves andamans perfect adventure seekers spelunkers reaching caves also requires small trek
338,Red Skin Island Beach,-1.0,ANDAMAN-NICOBAR-ISLANDS,https://www.holidify.com/images/cmsuploads/compressed/51921920e4b04a6f32d7561e_600x315_20190110132957.jpg,"red skin island is one of the 15 beaches found inside the marine national park of andaman and nicobar islands. it may be considered an alternative to jolly buoy island as they are adjacent to each other. this island is a promised relaxed journey on a beach that is paradise alike. the picturesque beach and adjoining forest make for a picture-perfect holiday that attracts tourists yearly. the island is a hub for marine life with an abundance of red coral reefs, aquatic animals, tropical plants, white sandy beaches and clear water.",1,red skin island one 15 beaches found inside marine national park andaman nicobar islands may considered alternative jolly buoy island adjacent other island promised relaxed journey beach paradise alike picturesque beach adjoining forest make picture perfect holiday attracts tourists yearly island hub marine life abundance red coral reefs aquatic animals tropical plants white sandy beaches clear water
339,Rubber Plantations in Andaman & Nicobar Island,-1.0,ANDAMAN-NICOBAR-ISLANDS,https://www.holidify.com/images/cmsuploads/compressed/Rubber-Plantations_20190429181310.jpg,"located in south andaman, the manglutan rubber plantation is an easily accessible destination for experience seekers. this popular tourist destination is a testament to the distinct vegetation grown in the region, including rubber. the suitable climatic conditions and soil of the area allow for the successful development of rubber plantations.  the manglutan rubber plantations are spread over 100 acres and are located close to wandoor beach. it is approximately 20 kilometres away from port blair in the andaman and nicobar islands. if you plan on visiting the rubber plantations of south andaman, be prepared for a fun, informative, albeit slightly smelly affair!",1,located south andaman manglutan rubber plantation easily accessible destination experience seekers popular tourist destination testament distinct vegetation grown region including rubber suitable climatic conditions soil area allow successful development rubber plantations manglutan rubber plantations spread 100 acres located close wandoor beach approximately 20 kilometres away port blair andaman nicobar islands plan visiting rubber plantations south andaman prepared fun informative albeit slightly smelly affair
340,Pathi Level Beach,-1.0,ANDAMAN-NICOBAR-ISLANDS,https://www.holidify.com/images/cmsuploads/compressed/4big_20190226125659jpg,"the pathi level beach is a fairly isolated and untouched beach on the island of diglipur in andaman. the beach is known for its quiet stillness and the escape from the hubbub that it provides by way of being undeveloped and not spoilt by tourists and locals. the beach is located approximately 21 kilometres from the diglipur township and is perfect for a relaxing day. although the beauty of the beach lies in its isolated nature, this also means that visitors must carry with them, snacks and water, as there are no hotels or restaurants surrounding the beach.",1,pathi level beach fairly isolated untouched beach island diglipur andaman beach known quiet stillness escape hubbub provides way undeveloped spoilt tourists locals beach located approximately 21 kilometres diglipur township perfect relaxing day although beauty beach lies isolated nature also means visitors must carry them snacks water hotels restaurants surrounding beach
341,Mangrove Creeks in Andaman,-1.0,ANDAMAN-NICOBAR-ISLANDS,https://www.holidify.com/images/cmsuploads/compressed/Mangrove_on_andaman_20190416152728.jpg,"mangrove trees are common in coastal areas. they grow out of tangled roots in muddy water. these beautiful trees can be enjoyed during the creek safari offered at limestone caves, yerrata creek, sabari village, dhaninalla mangrove creek, rangat middle andaman. you can also join the boat safari at baratang island, about 100 km away from port blair.",1,mangrove trees common coastal areas grow tangled roots muddy water beautiful trees enjoyed creek safari offered limestone caves yerrata creek sabari village dhaninalla mangrove creek rangat middle andaman also join boat safari baratang island 100 km away port blair
342,Karmatang Beach,-1.0,ANDAMAN-NICOBAR-ISLANDS,https://www.holidify.com/images/cmsuploads/compressed/karmatangbig1_20190226135318jpg,"also known as the ‘turtle paradise’ of andaman, karmatang beach was a quaint place that has, in recent years, turned into a behemoth vacation spot. the beach is just a short ride away from mayabunder and located in the north section of middle andaman.  the place is also most famous for being a turtle nesting spot as well as being a central attraction that connects many other activities and attractions nearby.",1,also known turtle paradise andaman karmatang beach quaint place has recent years turned behemoth vacation spot beach short ride away mayabunder located north section middle andaman place also famous turtle nesting spot well central attraction connects many activities attractions nearby
343,Butler Bay Beach,-1.0,ANDAMAN-NICOBAR-ISLANDS,https://www.holidify.com/images/cmsuploads/compressed/4747671581_5e701583c8_b_20190114200037.jpg,"butler bay beach is located in little andaman on the south andaman island. this vast expanse of yellow sand and crystal clear waters was once the most popular beach destination in the andaman and nicobar islands. however, after the grave tsunami in 2004, the beach has become more desolate and isolated. despite the recent tragedy, the beach has not lost its charm in the least and still holds the title of the best surfing spot in the whole of india.

the clear waters, which are perfect for many activities along with surfing, mesh with the beautiful and unspoilt yellow sands to create a beach that can only be seen in pictures. the hoard of events can also be perused according to the visitor’s whim. all round, butler bay beach is a perfectly safe and beautiful beach that accurately captures the essence of the andaman islands.",1,butler bay beach located little andaman south andaman island vast expanse yellow sand crystal clear waters popular beach destination andaman nicobar islands however grave tsunami 2004 beach become desolate isolated despite recent tragedy beach lost charm least still holds title best surfing spot whole india clear waters perfect many activities along surfing mesh beautiful unspoilt yellow sands create beach seen pictures hoard events also perused according visitors whim round butler bay beach perfectly safe beautiful beach accurately captures essence andaman islands
344,Katchal Island,-1.0,ANDAMAN-NICOBAR-ISLANDS,https://www.holidify.com/images/cmsuploads/compressed/maxresdefault_20190214150955jpg,"one of the many beautiful yet secluded islands of the nicobar archipelago, katchal island is one of the remotest. brimming with a historical origin story, a tale of a tragic past and an almost-unexplored stretch of natural beauty, the virgin island of katchal awaits its curious tourists in serenity.",1,one many beautiful yet secluded islands nicobar archipelago katchal island one remotest brimming historical origin story tale tragic past almost unexplored stretch natural beauty virgin island katchal awaits curious tourists serenity
345,Guitar Island Beach,-1.0,ANDAMAN-NICOBAR-ISLANDS,https://www.holidify.com/images/cmsuploads/compressed/Guitar-Island-Beach_20190219103710jpg,"one of the numerous exquisite but uninhabited islands of andaman and nicobar, guitar island is as beautiful and rewarding a destination as one can be. with brilliant blue water all around and tropical greens inside, this island makes for a stunning day trip from the main island.",1,one numerous exquisite uninhabited islands andaman nicobar guitar island beautiful rewarding destination one be brilliant blue water around tropical greens inside island makes stunning day trip main island
346,Avis Island Beach,-1.0,ANDAMAN-NICOBAR-ISLANDS,"https://www.holidify.com/images/cmsuploads/compressed/Chairs_on_shady_beach,_Andaman_Sea_Islands,_India_2009_20190114191856.jpg","the avis island beach is a public island beach for individuals wishing to spend some time away from crowds and in their own solitary company. avis island is an uninhabited beach, which automatically makes activity on the beach lesser and the beach itself more isolated. avis island beach is also easily accessible and has crystal clear, calm waters that add to the serene ambience of the beach. due to the organic coconut plantations on the island, avis island is also known as the coconut island.",1,avis island beach public island beach individuals wishing spend time away crowds solitary company avis island uninhabited beach automatically makes activity beach lesser beach isolated avis island beach also easily accessible crystal clear calm waters add serene ambience beach due organic coconut plantations island avis island also known coconut island
347,Minicoy Island,4.4,LAKSHADWEEP-ISLANDS,https://www.holidify.com/images/cmsuploads/compressed/7543502394_1d22cbd3f0_b_20170423194400.jpg,"one of the 36 small islets of lakshadweep group of islands, minicoy, also known as maliku in the local language is one of the best-kept secrets of india. it is located amidst the vast expanse of arabian sea, just 398 km or 215 nautical miles from the shores of cochin.",0,one 36 small islets lakshadweep group islands minicoy also known maliku local language one best kept secrets india located amidst vast expanse arabian sea 398 km 215 nautical miles shores cochin
348,Agatti Islands,3.6,LAKSHADWEEP-ISLANDS,https://www.holidify.com/images/cmsuploads/compressed/3184673264_7e853a1ca8_b_20170423200100.jpg,agatti islands is considered another jewel from the lakshadweep group of islands in india. the island is situated on one of the coral isles of lakshadweep islands and is few of the islands from the lakshadweep group that is inhabited by people. one may explore the island on foot or rent a two-wheeler to commute.,0,agatti islands considered another jewel lakshadweep group islands india island situated one coral isles lakshadweep islands islands lakshadweep group inhabited people one may explore island foot rent two wheeler commute
349,Bangaram Island,4.3,LAKSHADWEEP-ISLANDS,https://www.holidify.com/images/cmsuploads/compressed/4661_20200717131733.jpg,"bangaram island is a beautiful tiny island in the union territory of lakshadweep, india. the bangaram island encompasses an area of 1.234 km2 and is the largest island in the chain of islands in the region (also known as an atoll) with a beautiful lagoon. with a population of only 10 and just one beach resort, it is an apt destination for people who want to disconnect entirely from the fast-paced world.",0,bangaram island beautiful tiny island union territory lakshadweep india bangaram island encompasses area 1 234 km2 largest island chain islands region also known atoll beautiful lagoon population 10 one beach resort apt destination people want disconnect entirely fast paced world
350,Scuba Diving in Lakshadweep,4.0,LAKSHADWEEP-ISLANDS,https://www.holidify.com/images/cmsuploads/compressed/Scuba_diving__Lakshadweep_20210531165930.jpg,"scuba diving in lakshadweep is one of the most popular activities amongst travellers. agatti, bangaram and kadmat islands are the three islands that prove a perfect setting for the scuba. each dive centre has attached resorts catering to the needs of beginners as well as those interested in cmas and padi courses by certified divers. the islands are also enriched with a diverse variety of tropical fishes, vibrant corals and other creatures like turtles, rays and coral sharks.",0,scuba diving lakshadweep one popular activities amongst travellers agatti bangaram kadmat islands three islands prove perfect setting scuba dive centre attached resorts catering needs beginners well interested cmas padi courses certified divers islands also enriched diverse variety tropical fishes vibrant corals creatures like turtles rays coral sharks
351,Kavaratti Islands,3.6,LAKSHADWEEP-ISLANDS,https://www.holidify.com/images/cmsuploads/compressed/619_20200720091415.jpg,"one of the prime destinations for tourists, this island has amazing white coral-sand beaches, calm and soothing lagoons and immense greenery! like all other islands in the vicinity, this too is a nature lover's paradise! the dancing coconut leaves, smell of the salty ocean and the sound of the waves are something that any tourist will never forget.",0,one prime destinations tourists island amazing white coral sand beaches calm soothing lagoons immense greenery like islands vicinity nature lover s paradise dancing coconut leaves smell salty ocean sound waves something tourist never forget
352,Kalpeni Island,3.6,LAKSHADWEEP-ISLANDS,https://www.holidify.com/images/compressed/8103.jpg,"also known as koefaini, kalpeni islands is a group of three islands and is one of the most picturesque areas of lakshadweep. cheriyam, pitti and tillakkam are the islands which together forms the kalpeni islands.",0,also known koefaini kalpeni islands group three islands one picturesque areas lakshadweep cheriyam pitti tillakkam islands together forms kalpeni islands
353,Water Sports in Lakshadweep Islands,4.2,LAKSHADWEEP-ISLANDS,https://www.holidify.com/images/compressed/622.jpg,"apart from admiring the nature, the next best thing on any vacationer's 'to-do list' should be water sports. there are plenty of opportunities for scuba diving, yachting, pedal boating, kayaking, canoeing, swimming, snorkeling, etc.",0,apart admiring nature next best thing vacationer s to do list water sports plenty opportunities scuba diving yachting pedal boating kayaking canoeing swimming snorkeling etc
354,Marine Museum,3.6,LAKSHADWEEP-ISLANDS,https://www.holidify.com/images/compressed/4664.jpg,"situated in kavaratti, marine museum showcases plethora of marine related artifacts and aims at promoting marine products and its preservation. the interesting thing about the museum is its aquarium which has few of the most striking species of sea fishes and water animals.",0,situated kavaratti marine museum showcases plethora marine related artifacts aims promoting marine products preservation interesting thing museum aquarium striking species sea fishes water animals
355,Kadmat Island,3.6,LAKSHADWEEP-ISLANDS,https://www.holidify.com/images/cmsuploads/compressed/623_20190906105813.jpg,"kadmat is one of the most popular islands for tourists. famous for sun bathing, it is renowned for its pristine silvery white beaches. this really small island has a beautiful lagoon in its premises enclosed by coral reefs.",0,kadmat one popular islands tourists famous sun bathing renowned pristine silvery white beaches really small island beautiful lagoon premises enclosed coral reefs
356,City Shopping,3.0,LAKSHADWEEP-ISLANDS,https://www.holidify.com/images/compressed/6980.jpg,coconut powder and oil can be bought from the factory at kadmat island. fish pickles and small souvenirs are available at kavaratti.,0,coconut powder oil bought factory kadmat island fish pickles small souvenirs available kavaratti
357,Amindivi Islands,3.3,LAKSHADWEEP-ISLANDS,https://www.holidify.com/images/compressed/4659.jpg,one of the most habited islands of lakshadweep; amindivi is a group of islands lying in the north lakshadweep and is famous for its choir products. it is an ideal place for those seeking to experience the local culture and markets of lakshadweep.,0,one habited islands lakshadweep amindivi group islands lying north lakshadweep famous choir products ideal place seeking experience local culture markets lakshadweep
358,Andretti Island,3.3,LAKSHADWEEP-ISLANDS,https://www.holidify.com/images/compressed/4660.jpg,"also known as andrott island, this is the largest island of lakshadweep and is located closest to the indian mainland. unlike other islands, andretti islands are in east-west direction.",0,also known andrott island largest island lakshadweep located closest indian mainland unlike islands andretti islands east west direction
359,"Lighthouse, Minicoy Island",3.3,LAKSHADWEEP-ISLANDS,https://www.holidify.com/images/compressed/4663.jpg,"built in the late 19th century back in 1885 in the minicoy island is one of the oldest lighthouses in lakshadweep. standing tall at 300 feet, the view from the top is absolutely mesmerizing.",0,built late 19th century back 1885 minicoy island one oldest lighthouses lakshadweep standing tall 300 feet view top absolutely mesmerizing
360,Yacht Cruise,-1.0,LAKSHADWEEP-ISLANDS,https://www.holidify.com/images/cmsuploads/compressed/yachtt_20180716173237.jpg,"lakshadweep islands are a perfect destination to go on a luxury yacht cruise. sailing amidst indigo blue waters and divine white sands, the experience is going to be a memorable one and is sure to stay with you for a long time. you might also be able to spot exotic fish and turtles while you are out there. besides giving you the bliss of thrill and adventure, this is one of the most pristine things to do in lakshadweep.",1,lakshadweep islands perfect destination go luxury yacht cruise sailing amidst indigo blue waters divine white sands experience going memorable one sure stay long time might also able spot exotic fish turtles there besides giving bliss thrill adventure one pristine things lakshadweep
361,Parasailing in Lakshadweep,-1.0,LAKSHADWEEP-ISLANDS,https://www.holidify.com/images/cmsuploads/compressed/parasailing_paragliding_parachute_sea_water_sport_parachute_at_sea_flies_fun-713620_20180319104543.jpg!d,"parasailing is one of the most thrilling activities that you can enjoy at several places in lakshadweep. you are set sail in the air through steam and jet boats and the experience is going to be like no place else. besides, enjoying a 360 degree bird's eye view of the sand and the sea, parasailing above the clear waters will give you a high adrenaline rush and an experience that you will surely never forget.",1,parasailing one thrilling activities enjoy several places lakshadweep set sail air steam jet boats experience going like place else besides enjoying 360 degree bird s eye view sand sea parasailing clear waters give high adrenaline rush experience surely never forget
362,Calangute Beach,4.4,North Goa,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_1314723038_20190822145625.jpg,"calangute is the largest beach in north goa stretching from candolim to baga. it is a hub for tourists and backpackers as it is the perfect place to look for accommodation. it is known for the beach shacks and water sports like parasailing, water surfing, banana ride and jet-skiing.",0,calangute largest beach north goa stretching candolim baga it hub tourists backpackers perfect place look accommodation known beach shacks water sports like parasailing water surfing banana ride jet skiing
363,Fort Aguada,4.4,North Goa,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_1065727913_20190822150731.jpg,fort aguada is a 17th-century portuguese fort looking out at the confluence of mandovi river and the arabian sea. the crumbling ramparts of the fort stand on the sinquerim beach. the highlight of the fort is a lone four-storey lighthouse (which is one-of-its-kind in asia) and a stunning view of the sunset.,0,fort aguada 17th century portuguese fort looking confluence mandovi river arabian sea crumbling ramparts fort stand sinquerim beach highlight fort lone four storey lighthouse which one of its kind asia stunning view sunset
364,Cruise in Goa,4.3,GOA,https://www.holidify.com/images/cmsuploads/compressed/cruises-in-goa-1_20171121225733.jpg,"cruise in goa allows one to explore the exotic scenery, pristine waters and marvel the breathtaking view of the sunset. there are several types of cruises in goa ranging from simple evening cruises, elaborate and romantic dinner cruises, backwater cruises, and casino cruises. all of these usually originate from miramar beach in panjim.",0,cruise goa allows one explore exotic scenery pristine waters marvel breathtaking view sunset several types cruises goa ranging simple evening cruises elaborate romantic dinner cruises backwater cruises casino cruises usually originate miramar beach panjim
365,Water Sports in Goa,4.4,GOA,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_307777376_20190822150057_20190822161317.jpg,"goa is a haven for water sports like kneeboarding, kite surfing, snorkelling, parasailing, paragliding, diving, and kayaking. the water sports in goa can be enjoyed at any one of the beaches in the north or the south. you can also engage in your favorite activities through a number of licensed water sports package operators.",0,goa water sports likekneeboarding kite surfing snorkelling parasailing paragliding diving kayaking water sports goa enjoyed one beaches north south also engage favorite activities number licensed water sports package operators
366,Dudhsagar Falls,4.3,South Goa,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_248465767_20190822151157.jpg,"one of india's tallest waterfalls, the dudhsagar falls is located inside the mollem national park. the dudhsagar falls should be visited during the monsoon when it is in full flow and the surrounding deciduous forests are at their verdant best.",0,one india s tallest waterfalls dudhsagar falls located inside mollem national park dudhsagar falls visited monsoon full flow surrounding deciduous forests verdant best
367,Anjuna Beach,4.4,North Goa,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_1065723824_20190822151024.jpg,"anjuna beach is among the most popular beaches in north goa, stretching almost 2km. from family outings to adrenaline-filled adventures, anjuna beach is famed for its golden coastline, nightclubs, beach shacks, watersports, full-moon parties and flea markets.",0,anjuna beach among popular beaches north goa stretching almost 2km family outings adrenaline filled adventures anjuna beach famed golden coastline nightclubs beach shacks watersports full moon parties flea markets
368,Chapora Fort,3.7,North Goa,https://www.holidify.com/images/cmsuploads/compressed/Chapora_Fort_20180428123835.jpg,"chapora fort is undeniably one of the most famous forts in goa. more popularly known as the 'dil chahta hai fort', its claim to fame was the 2001 bollywood blockbuster shot here. a scintillating escape, it offers beautiful views of the sea and chapora river.",0,chapora fort undeniably one famous forts goa popularly known dil chahta hai fort claim fame 2001 bollywood blockbuster shot here scintillating escape offers beautiful views sea chapora river
369,Thalassa,-1.0,GOA,https://www.holidify.com/images/cmsuploads/compressed/87090765101565833482413334981330703720382464n_20200806141800.jpg,"thalassa- the greek taverna is one of the most popular restaurants in goa. having moved out to the backwaters along with siolim (from its prior location of vagator hilltop), it is famous for its signature cocktails and sunsets. reverberating with the cultural flavour of greece, it serves authentic greek mediterranean cuisine.",1,thalassa greek taverna one popular restaurants goa moved backwaters along siolim from prior location vagator hilltop famous signature cocktails sunsets reverberating cultural flavour greece serves authentic greek mediterranean cuisine
370,Basilica of Bom Jesus,4.3,Panaji,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_1073481062_20190822145857.jpg,"the basilica of bom jesus church is a unesco world heritage site. it houses the tomb and remains of st. francis xavier. even after 400 years, the remains are in a good condition and are taken out once every decade.",0,basilica bom jesus church unesco world heritage site it houses tomb remains st francis xavier even 400 years remains good condition taken every decade
371,Baga Beach,4.5,North Goa,https://www.holidify.com/images/cmsuploads/compressed/7691_20190710110712.jpg,"one of the most popular beaches in north goa, baga beach is located close to calangute beach, around 30 km north of panjim. it is the perfect destination to witness the dazzling nightlife of goa as signature places such as britto's, tito's and mambos are located in the vicinity. it is also known for a vast range of water sports.",0,one popular beaches north goa baga beach located close calangute beach around 30 km north panjim perfect destination witness dazzling nightlife goa signature places britto s tito s mambos located vicinity also known vast range water sports
372,Butterfly Beach,3.9,South Goa,https://www.holidify.com/images/cmsuploads/compressed/butterfly-beach_20171116114709.jpg,"a little to the south of palolem in canacona region of goa lies the butterfly beach. this beach, also known as honeymoon beach, is one of the most secluded and lesser-known beaches of goa. the beach is mostly accessible by a boat (ferry) ride from the nearby beaches.",0,little south palolem canacona region goa lies butterfly beach beach also known honeymoon beach one secluded lesser known beaches goa beach mostly accessible boat ferry ride nearby beaches
373,Divar Island,-1.0,GOA,https://www.holidify.com/images/cmsuploads/compressed/shutterstock_1214370046_20191129145509.jpg,"divar island is a slice of heaven tucked away in dense woods amidst the beauty of nature. connected to old goa only through ferry service, this island is synonymous with natural beauty, serenity and tranquillity.",1,divar island slice heaven tucked away dense woods amidst beauty nature connected old goa ferry service island synonymous natural beauty serenity tranquillity
374,Scuba Diving in Goa,4.3,North Goa,https://www.holidify.com/images/places/dive_goa.jpg,"goa is one of the few places in india offering scuba diving. diving in goa is not the best owing to limited underwater visibility, but it is still popular among tourists as it is a good destination for beginners to explore the delights of the underwater world. the absence of strong water current with occasional surges adds serenity to the activity.",0,goa one places india offering scuba diving diving goa best owing limited underwater visibility still popular among tourists good destination beginners explore delights underwater world the absence strong water current occasional surges adds serenity activity
375,Shopping in Goa,3.7,GOA,https://www.holidify.com/images/compressed/6888.jpg,"for carrying back an authentic goan experience with you, you can buy some feni, cashew-nuts, goan hats and handicrafts. there are lots of shops in panjim, the capital where you can buy interesting stuff. goa is also known for its hand-painted ceramics.",0,carrying back authentic goan experience you buy feni cashew nuts goan hats handicrafts lots shops panjim capital buy interesting stuff goa also known hand painted ceramics
376,Dona Paula,4.4,Panaji,https://www.holidify.com/images/cmsuploads/compressed/3205_20200511154307.jpg,"dona paula is one of the most popular tourist hangouts in goa famous for its vast stretch of beach. the small beach is also popular as the lover's paradise and features a jetty (dona paula jetty) adjacent to it, which provides an ethereal view of the arabian sea and mormugao harbour.",0,dona paula one popular tourist hangouts goa famous vast stretch beach small beach also popular lover s paradise features jetty dona paula jetty adjacent it provides ethereal view arabian sea mormugao harbour
